noise	 mean rob	 min rob
0.1	4.029		2.423
0.2	3.71		2.232
0.3	3.729		2.59
0.4	3.278		1.665
0.5	3.204		1.834
0.6	3.087		0.594
0.7	2.782		-0.007
0.8	2.723		-0.035
0.9	2.229		0.293
1.0	2.309		0.039
1.1	2.214		0.249
1.2	2.055		-0.022
1.3	1.876		-0.071
1.4	1.636		-0.049
1.5	1.471		-0.055
1.6	1.267		-0.123
1.7	1.322		-0.113
1.8	1.198		-0.153
1.9	1.356		-0.102
2.0	1.024		-0.107
2.1	1.178		-0.142
2.2	0.681		-0.14
2.3	0.868		-0.094
2.4	0.693		-0.119
2.5	0.64		-0.138
2.6	0.662		-0.063
2.7	0.414		-0.118
2.8	0.579		-0.115
2.9	0.486		-0.103
3.0	1.011		-0.08
3.1	0.427		-0.142
3.2	0.398		-0.108
3.3	0.488		-0.119
3.4	0.868		-0.126
3.5	0.452		-0.129
3.6	0.425		-0.14
3.7	0.507		-0.122
3.8	0.413		-0.155
3.9	0.518		-0.114
4.0	0.426		-0.142
