noise	 mean rob	 min rob
0.1	3.815		2.05
0.2	3.839		2.537
0.3	4.078		2.782
0.4	3.911		2.749
0.5	3.855		1.859
0.6	3.912		2.061
0.7	3.978		2.036
0.8	4.054		1.928
0.9	3.7		1.262
1.0	4.136		1.772
1.1	3.845		1.605
1.2	3.822		2.445
1.3	3.447		1.579
1.4	3.718		1.387
1.5	3.72		1.286
1.6	3.869		1.45
1.7	4.03		1.775
1.8	4.038		1.781
1.9	4.295		2.154
2.0	3.966		1.403
2.1	3.814		1.505
2.2	4.031		1.131
2.3	4.039		1.4
2.4	3.723		-0.026
2.5	3.869		-0.178
2.6	4.243		1.427
2.7	3.817		1.14
2.8	3.587		0.392
2.9	3.75		0.934
3.0	3.994		1.303
3.1	3.625		0.201
3.2	4.322		1.593
3.3	3.382		0.11
3.4	3.553		0.64
3.5	4.115		0.055
3.6	3.854		1.386
3.7	3.633		0.744
3.8	4.098		0.37
3.9	4.529		1.203
4.0	3.52		-0.055
