Robustness of the model with process noise 0.05 and observation noise 0.5
kalman_rob	only_noise_rob
0.025		0.034
0.043		0.077
0.003		0.091
0.11		0.101
0.066		0.036
0.085		0.042
0.098		0.006
0.004		0.086
0.065		0.019
0.152		0.009
0.081		0.191
0.103		0.144
0.141		0.088
0.078		0.085
0.124		0.01
0.054		0.036
0.029		0.077
0.038		0.094
0.005		0.009
0.056		0.114
0.037		0.035
0.051		0.101
0.05		0.065
0.035		0.076
0.1		0.078
0.027		0.088
0.137		0.073
-1.138		0.084
0.035		0.029
0.007		0.095
0.096		0.007
0.01		0.046
0.127		0.104
0.093		0.078
0.059		0.057
0.047		0.035
0.038		0.019
0.005		0.121
0.038		0.032
0.015		0.015
