Robustness of the model with process noise 0.05 and observation noise 0.5
kalman_rob	only_noise_rob
0.032		0.029
0.018		0.061
0.042		0.049
0.003		0.015
0.015		0.038
0.034		0.008
0.011		0.026
0.071		0.113
0.119		0.037
0.041		0.076
0.032		0.035
0.006		0.188
0.056		0.015
0.038		0.063
0.014		0.014
0.097		0.04
0.102		0.013
0.008		0.042
0.008		0.055
0.006		0.01
0.067		0.031
0.029		0.062
0.051		0.108
0.134		0.017
0.054		0.119
0.049		0.07
0.062		0.038
0.003		0.045
0.058		0.074
0.095		0.056
0.077		0.037
0.066		0.002
0.004		0.021
0.061		0.043
0.025		0.042
0.063		0.078
0.044		0.064
0.045		0.131
0.054		0.008
0.087		0.084
