noise	kalman rob	only_noise_rob
0.2	3.932		2.931
0.3	5.249		2.387
0.4	3.281		2.734
0.5	3.3		2.485
0.6	6.172		1.997
0.7	4.343		2.85
0.8	3.447		2.74
0.9	4.287		0.61
1.0	3.334		2.855
1.1	5.526		1.15
1.2	2.725		1.664
1.3	4.858		3.456
1.4	3.748		2.529
1.5	3.566		0.08
1.6	3.494		4.46
1.7	2.478		3.34
1.8	5.01		3.009
1.9	5.729		1.437
2.0	5.08		1.433
2.1	4.138		0.541
2.2	5.61		0.255
2.3	3.742		2.82
2.4	2.344		-0.041
2.5	2.511		4.205
2.6	4.554		3.378
2.7	5.14		1.373
2.8	2.585		2.258
2.9	5.321		0.284
3.0	5.275		0.271
3.1	6.015		0.448
3.2	6.566		-0.021
3.3	2.545		-0.072
3.4	2.773		0.083
3.5	3.304		1.755
3.6	4.592		-0.142
3.7	4.496		-0.004
3.8	0.699		0.736
3.9	3.829		1.457
4.0	3.664		-0.096
4.1	3.232		-0.169
